sentence_idx,word,tag
70,Landing,B-CMP
70,gear,I-CMP
70,Avoidance,O
70,Disabled,O
71,Landing,B-FNC
71,Protection,I-FNC
71,Activated,O
71,Aircraft,B-CMP
71,will,O
71,decelerate,O
71,during,O
71,landing,B-ACT
72,Ground,O
72,Plain,O
72,Safe,O
72,to,O
72,Land,O
73,Taking,B-ACT
73,Off,I-ACT
74,Taking,B-ACT
74,Off,I-ACT
75,Home,B-PAR
75,Point,I-PAR
75,Recorded,B-ACT
75,RTH,B-PAR
75,Altitude,I-PAR
75,30m,O
76,Landing,B-CMP
76,gear,I-CMP
76,Avoidance,O
76,Disabled,O
77,Current,O
77,RTH,B-PAR
77,route,I-PAR
77,will,O
77,pass,O
77,a,O
77,zone,O
77,Pay,O
77,attention,O
77,to,O
77,the,O
77,aircraft,B-CMP
77,position,O
77,to,O
77,avoid,O
77,RTH,B-ACT
77,failure,O
78,Compass,B-CMP
78,Error,O
78,Exit,O
78,Mode,O
79,In,B-STE
79,Flight,I-STE
80,Max,B-ISS
80,Flight,I-ISS
80,Distance,I-ISS
80,Reached,O
80,Adjust,O
80,in,O
80,Main,O
80,Controller,B-CMP
80,Settings,B-FNC
80,if,O
80,necessary,O
81,The,O
81,remaining,O
81,battery,B-CMP
81,is,O
81,only,O
81,enough,O
81,for,O
81,RTH,B-ACT
81,Return,O
81,home,O
81,now,O
82,Low,B-ISS
82,Power,I-ISS
82,Aircraft,B-CMP
82,is,O
82,returning,O
82,to,O
82,the,O
82,Home,B-PAR
82,Point,I-PAR
83,Fly,O
83,with,O
83,caution,O
83,and,O
83,ensure,O
83,the,O
83,aircraft,B-CMP
83,remains,O
83,within,O
83,your,O
83,line,O
83,of,O
83,sight,O
84,The,O
84,remaining,O
84,battery,B-CMP
84,is,O
84,only,O
84,enough,O
84,for,O
84,RTH,B-ACT
84,Return,O
84,home,O
84,now,O
85,Obstacle,B-FNC
85,Avoidance,I-FNC
85,will,O
85,be,O
85,disabled,O
85,in,O
85,landing,B-ACT
86,Landing,B-CMP
86,gear,I-CMP
86,Avoidance,O
86,Disabled,O
87,Landing,B-FNC
87,Protection,I-FNC
87,Activated,O
87,Aircraft,B-CMP
87,will,O
87,decelerate,O
87,during,O
87,landing,B-ACT
88,Ground,O
88,Plain,O
88,Safe,O
88,to,O
88,Land,O
89,Taking,B-ACT
89,Off,I-ACT
90,Taking,B-ACT
90,Off,I-ACT
91,Home,B-PAR
91,Point,I-PAR
91,Recorded,B-ACT
91,RTH,B-PAR
91,Altitude,I-PAR
91,30m,O
92,Landing,B-CMP
92,gear,I-CMP
92,Avoidance,O
92,Disabled,O
93,Max,B-ISS
93,Flight,I-ISS
93,Altitude,I-ISS
93,Reached,O
93,Adjust,O
93,in,O
93,Main,O
93,Controller,B-CMP
93,Settings,B-FNC
93,if,O
93,necessary,O
94,Subject,O
94,too,O
94,Small,O
94,Get,O
94,Closer,O
94,and,O
94,retry,O
95,Max,B-ISS
95,Flight,I-ISS
95,Distance,I-ISS
95,Reached,O
95,Adjust,O
95,in,O
95,Main,O
95,Controller,B-CMP
95,Settings,B-FNC
95,if,O
95,necessary,O
96,Aircraft,B-CMP
96,is,O
96,returning,O
96,to,O
96,the,O
96,Home,B-PAR
96,Point,I-PAR
96,Minimum,O
96,RTH,B-PAR
96,Altitude,I-PAR
96,is,O
96,30m,O
96,You,O
96,can,O
96,reset,O
96,the,O
96,RTH,B-PAR
96,Altitude,I-PAR
96,in,O
96,Remote,O
96,Controller,B-CMP
96,Settings,B-FNC
96,after,O
96,cancelling,O
96,RTH,B-ACT
97,Max,B-ISS
97,Flight,I-ISS
97,Altitude,I-ISS
97,Reached,O
97,Adjust,O
97,in,O
97,Main,O
97,Controller,B-CMP
97,Settings,B-FNC
97,if,O
97,necessary,O
98,Obstacle,B-FNC
98,Avoidance,I-FNC
98,will,O
98,be,O
98,disabled,O
98,in,O
98,landing,B-ACT
99,Landing,B-CMP
99,gear,I-CMP
99,Avoidance,O
99,Disabled,O
100,Landing,B-FNC
100,Protection,I-FNC
100,Activated,O
100,Aircraft,B-CMP
100,will,O
100,decelerate,O
100,during,O
100,landing,B-ACT
101,Ground,O
101,Plain,O
101,Safe,O
101,to,O
101,Land,O
102,Taking,B-ACT
102,Off,I-ACT
103,Taking,B-ACT
103,Off,I-ACT
104,Home,B-PAR
104,Point,I-PAR
104,Recorded,B-ACT
104,RTH,B-PAR
104,Altitude,I-PAR
104,30m,O
105,Landing,B-CMP
105,gear,I-CMP
105,Avoidance,O
105,Disabled,O
106,Aircraft,B-CMP
106,close,O
106,to,O
106,Home,B-PAR
106,Point,I-PAR
106,shifts,O
106,to,O
107,Obstacle,B-FNC
107,Avoidance,I-FNC
107,will,O
107,be,O
107,disabled,O
107,in,O
107,landing,B-ACT
108,Landing,B-CMP
108,gear,I-CMP
108,Avoidance,O
108,Disabled,O
109,Landing,B-FNC
109,Protection,I-FNC
109,Activated,O
109,Aircraft,B-CMP
109,will,O
109,decelerate,O
109,during,O
109,landing,B-ACT
110,Landing,B-ACT
110,Canceled,O
111,Aircraft,B-CMP
111,close,O
111,to,O
111,Home,B-PAR
111,Point,I-PAR
111,shifts,O
111,to,O
112,Obstacle,B-FNC
112,Avoidance,I-FNC
112,will,O
112,be,O
112,disabled,O
112,in,O
112,landing,B-ACT
113,Landing,B-FNC
113,Protection,I-FNC
113,Activated,O
113,Aircraft,B-CMP
113,will,O
113,decelerate,O
113,during,O
113,landing,B-ACT
114,Landing,B-CMP
114,gear,I-CMP
114,Avoidance,O
114,Disabled,O
115,Obstacle,B-FNC
115,Avoidance,I-FNC
115,will,O
115,be,O
115,disabled,O
115,in,O
115,landing,B-ACT
116,Landing,B-ACT
117,Landing,B-FNC
117,Protection,I-FNC
117,Activated,O
117,Aircraft,B-CMP
117,will,O
117,decelerate,O
117,during,O
117,landing,B-ACT
118,Landing,B-CMP
118,gear,I-CMP
118,Avoidance,O
118,Disabled,O
119,Ground,O
119,Plain,O
119,Safe,O
119,to,O
119,Land,O
120,Data,O
120,Recorder,O
120,File,O
120,Index,O
120,is,O
120,30,O
121,Home,B-PAR
121,Point,I-PAR
121,Updated,O
122,Obstacle,B-FNC
122,Avoidance,I-FNC
122,disabled,O
122,Landing,B-CMP
122,gear,I-CMP
122,lowered,B-ACT
122,Obstacle,B-FNC
122,Avoidance,I-FNC
122,has,O
122,been,O
122,disabled,O
123,Gimbal,B-CMP
123,Pitch,I-CMP
123,Limit,O
123,Reached,O
124,GPS,B-FNC
124,Position,O
124,Mismatch,O
125,GPS,B-FNC
125,Position,O
125,Mismatch,O
126,GPS,B-FNC
126,Position,O
126,Mismatch,O
127,GPS,B-FNC
127,Position,O
127,Mismatch,O
128,GPS,B-FNC
128,Position,O
128,Mismatch,O
129,GPS,B-FNC
129,Position,O
129,Mismatch,O
130,GPS,B-FNC
130,Position,O
130,Mismatch,O
131,GPS,B-FNC
131,Position,O
131,Mismatch,O
132,GPS,B-FNC
132,Position,O
132,Mismatch,O
133,GPS,B-FNC
133,Position,O
133,Mismatch,O
134,GPS,B-FNC
134,Position,O
134,Mismatch,O
135,GPS,B-FNC
135,Position,O
135,Mismatch,O
136,GPS,B-FNC
136,Position,O
136,Mismatch,O
137,GPS,B-FNC
137,Position,O
137,Mismatch,O
138,GPS,B-FNC
138,Position,O
138,Mismatch,O
139,GPS,B-FNC
139,Position,O
139,Mismatch,O
140,GPS,B-FNC
140,Position,O
140,Mismatch,O
141,GPS,B-FNC
141,Position,O
141,Mismatch,O
142,GPS,B-FNC
142,Position,O
142,Mismatch,O
143,GPS,B-FNC
143,Position,O
143,Mismatch,O
144,GPS,B-FNC
144,Position,O
144,Mismatch,O
145,GPS,B-FNC
145,Position,O
145,Mismatch,O
146,GPS,B-FNC
146,Position,O
146,Mismatch,O
147,GPS,B-FNC
147,Position,O
147,Mismatch,O
148,GPS,B-FNC
148,Position,O
148,Mismatch,O
149,GPS,B-FNC
149,Position,O
149,Mismatch,O
150,GPS,B-FNC
150,Position,O
150,Mismatch,O
151,GPS,B-FNC
151,Position,O
151,Mismatch,O
152,GPS,B-FNC
152,Position,O
152,Mismatch,O
153,GPS,B-FNC
153,Position,O
153,Mismatch,O
154,GPS,B-FNC
154,Position,O
154,Mismatch,O
155,GPS,B-FNC
155,Position,O
155,Mismatch,O
156,GPS,B-FNC
156,Position,O
156,Mismatch,O
157,GPS,B-FNC
157,Position,O
157,Mismatch,O
158,GPS,B-FNC
158,Position,O
158,Mismatch,O
159,GPS,B-FNC
159,Position,O
159,Mismatch,O
160,GPS,B-FNC
160,Position,O
160,Mismatch,O
161,GPS,B-FNC
161,Position,O
161,Mismatch,O
162,GPS,B-FNC
162,Position,O
162,Mismatch,O
163,GPS,B-FNC
163,Position,O
163,Mismatch,O
164,GPS,B-FNC
164,Position,O
164,Mismatch,O
165,GPS,B-FNC
165,Position,O
165,Mismatch,O
166,GPS,B-FNC
166,Position,O
166,Mismatch,O
167,GPS,B-FNC
167,Position,O
167,Mismatch,O
168,GPS,B-FNC
168,Position,O
168,Mismatch,O
169,GPS,B-FNC
169,Position,O
169,Mismatch,O
170,GPS,B-FNC
170,Position,O
170,Mismatch,O
171,GPS,B-FNC
171,Position,O
171,Mismatch,O
172,GPS,B-FNC
172,Position,O
172,Mismatch,O
173,GPS,B-FNC
173,Position,O
173,Mismatch,O
174,GPS,B-FNC
174,Position,O
174,Mismatch,O
175,GPS,B-FNC
175,Position,O
175,Mismatch,O
176,GPS,B-FNC
176,Position,O
176,Mismatch,O
177,GPS,B-FNC
177,Position,O
177,Mismatch,O
178,GPS,B-FNC
178,Position,O
178,Mismatch,O
179,GPS,B-FNC
179,Position,O
179,Mismatch,O
180,GPS,B-FNC
180,Position,O
180,Mismatch,O
181,GPS,B-FNC
181,Position,O
181,Mismatch,O
182,GPS,B-FNC
182,Position,O
182,Mismatch,O
183,GPS,B-FNC
183,Position,O
183,Mismatch,O
184,GPS,B-FNC
184,Position,O
184,Mismatch,O
185,GPS,B-FNC
185,Position,O
185,Mismatch,O
186,GPS,B-FNC
186,Position,O
186,Mismatch,O
187,GPS,B-FNC
187,Position,O
187,Mismatch,O
188,GPS,B-FNC
188,Position,O
188,Mismatch,O
189,GPS,B-FNC
189,Position,O
189,Mismatch,O
190,GPS,B-FNC
190,Position,O
190,Mismatch,O
191,GPS,B-FNC
191,Position,O
191,Mismatch,O
192,GPS,B-FNC
192,Position,O
192,Mismatch,O
193,GPS,B-FNC
193,Position,O
193,Mismatch,O
194,GPS,B-FNC
194,Position,O
194,Mismatch,O
195,GPS,B-FNC
195,Position,O
195,Mismatch,O
196,GPS,B-FNC
196,Position,O
196,Mismatch,O
197,GPS,B-FNC
197,Position,O
197,Mismatch,O
198,GPS,B-FNC
198,Position,O
198,Mismatch,O
199,GPS,B-FNC
199,Position,O
199,Mismatch,O
200,GPS,B-FNC
200,Position,O
200,Mismatch,O
201,GPS,B-FNC
201,Position,O
201,Mismatch,O
202,GPS,B-FNC
202,Position,O
202,Mismatch,O
203,GPS,B-FNC
203,Position,O
203,Mismatch,O
204,GPS,B-FNC
204,Position,O
204,Mismatch,O
205,GPS,B-FNC
205,Position,O
205,Mismatch,O
206,GPS,B-FNC
206,Position,O
206,Mismatch,O
207,GPS,B-FNC
207,Position,O
207,Mismatch,O
208,GPS,B-FNC
208,Position,O
208,Mismatch,O
209,GPS,B-FNC
209,Position,O
209,Mismatch,O
210,GPS,B-FNC
210,Position,O
210,Mismatch,O
211,GPS,B-FNC
211,Position,O
211,Mismatch,O
212,GPS,B-FNC
212,Position,O
212,Mismatch,O
213,GPS,B-FNC
213,Position,O
213,Mismatch,O
214,GPS,B-FNC
214,Position,O
214,Mismatch,O
215,GPS,B-FNC
215,Position,O
215,Mismatch,O
216,GPS,B-FNC
216,Position,O
216,Mismatch,O
217,GPS,B-FNC
217,Position,O
217,Mismatch,O
218,GPS,B-FNC
218,Position,O
218,Mismatch,O
219,GPS,B-FNC
219,Position,O
219,Mismatch,O
220,GPS,B-FNC
220,Position,O
220,Mismatch,O
221,GPS,B-FNC
221,Position,O
221,Mismatch,O
222,GPS,B-FNC
222,Position,O
222,Mismatch,O
223,GPS,B-FNC
223,Position,O
223,Mismatch,O
224,GPS,B-FNC
224,Position,O
224,Mismatch,O
225,GPS,B-FNC
225,Position,O
225,Mismatch,O
226,GPS,B-FNC
226,Position,O
226,Mismatch,O
227,GPS,B-FNC
227,Position,O
227,Mismatch,O
228,GPS,B-FNC
228,Position,O
228,Mismatch,O
229,GPS,B-FNC
229,Position,O
229,Mismatch,O
230,GPS,B-FNC
230,Position,O
230,Mismatch,O
231,GPS,B-FNC
231,Position,O
231,Mismatch,O
232,GPS,B-FNC
232,Position,O
232,Mismatch,O
233,GPS,B-FNC
233,Position,O
233,Mismatch,O
234,GPS,B-FNC
234,Position,O
234,Mismatch,O
235,GPS,B-FNC
235,Position,O
235,Mismatch,O
236,GPS,B-FNC
236,Position,O
236,Mismatch,O
237,GPS,B-FNC
237,Position,O
237,Mismatch,O
238,GPS,B-FNC
238,Position,O
238,Mismatch,O
239,GPS,B-FNC
239,Position,O
239,Mismatch,O
240,GPS,B-FNC
240,Position,O
240,Mismatch,O
241,GPS,B-FNC
241,Position,O
241,Mismatch,O
242,GPS,B-FNC
242,Position,O
242,Mismatch,O
243,GPS,B-FNC
243,Position,O
243,Mismatch,O
244,GPS,B-FNC
244,Position,O
244,Mismatch,O
245,GPS,B-FNC
245,Position,O
245,Mismatch,O
246,GPS,B-FNC
246,Position,O
246,Mismatch,O
247,GPS,B-FNC
247,Position,O
247,Mismatch,O
248,GPS,B-FNC
248,Position,O
248,Mismatch,O
249,GPS,B-FNC
249,Position,O
249,Mismatch,O
250,GPS,B-FNC
250,Position,O
250,Mismatch,O
251,GPS,B-FNC
251,Position,O
251,Mismatch,O
252,GPS,B-FNC
252,Position,O
252,Mismatch,O
253,GPS,B-FNC
253,Position,O
253,Mismatch,O
254,GPS,B-FNC
254,Position,O
254,Mismatch,O
255,GPS,B-FNC
255,Position,O
255,Mismatch,O
256,GPS,B-FNC
256,Position,O
256,Mismatch,O
257,GPS,B-FNC
257,Position,O
257,Mismatch,O
258,GPS,B-FNC
258,Position,O
258,Mismatch,O
259,GPS,B-FNC
259,Position,O
259,Mismatch,O
260,GPS,B-FNC
260,Position,O
260,Mismatch,O
261,GPS,B-FNC
261,Position,O
261,Mismatch,O
262,GPS,B-FNC
262,Position,O
262,Mismatch,O
263,GPS,B-FNC
263,Position,O
263,Mismatch,O
264,GPS,B-FNC
264,Position,O
264,Mismatch,O
265,GPS,B-FNC
265,Position,O
265,Mismatch,O
266,GPS,B-FNC
266,Position,O
266,Mismatch,O
267,GPS,B-FNC
267,Position,O
267,Mismatch,O
268,GPS,B-FNC
268,Position,O
268,Mismatch,O
269,GPS,B-FNC
269,Position,O
269,Mismatch,O
270,GPS,B-FNC
270,Position,O
270,Mismatch,O
271,GPS,B-FNC
271,Position,O
271,Mismatch,O
272,GPS,B-FNC
272,Position,O
272,Mismatch,O
273,GPS,B-FNC
273,Position,O
273,Mismatch,O
274,GPS,B-FNC
274,Position,O
274,Mismatch,O
275,GPS,B-FNC
275,Position,O
275,Mismatch,O
276,GPS,B-FNC
276,Position,O
276,Mismatch,O
277,GPS,B-FNC
277,Position,O
277,Mismatch,O
278,GPS,B-FNC
278,Position,O
278,Mismatch,O
279,GPS,B-FNC
279,Position,O
279,Mismatch,O
280,GPS,B-FNC
280,Position,O
280,Mismatch,O
281,GPS,B-FNC
281,Position,O
281,Mismatch,O
282,GPS,B-FNC
282,Position,O
282,Mismatch,O
283,GPS,B-FNC
283,Position,O
283,Mismatch,O
284,GPS,B-FNC
284,Position,O
284,Mismatch,O
285,GPS,B-FNC
285,Position,O
285,Mismatch,O
286,GPS,B-FNC
286,Position,O
286,Mismatch,O
287,GPS,B-FNC
287,Position,O
287,Mismatch,O
288,GPS,B-FNC
288,Position,O
288,Mismatch,O
289,GPS,B-FNC
289,Position,O
289,Mismatch,O
290,GPS,B-FNC
290,Position,O
290,Mismatch,O
291,GPS,B-FNC
291,Position,O
291,Mismatch,O
292,GPS,B-FNC
292,Position,O
292,Mismatch,O
293,GPS,B-FNC
293,Position,O
293,Mismatch,O
294,GPS,B-FNC
294,Position,O
294,Mismatch,O
295,GPS,B-FNC
295,Position,O
295,Mismatch,O
296,GPS,B-FNC
296,Position,O
296,Mismatch,O
297,GPS,B-FNC
297,Position,O
297,Mismatch,O
298,GPS,B-FNC
298,Position,O
298,Mismatch,O
299,GPS,B-FNC
299,Position,O
299,Mismatch,O
300,GPS,B-FNC
300,Position,O
300,Mismatch,O
301,GPS,B-FNC
301,Position,O
301,Mismatch,O
302,GPS,B-FNC
302,Position,O
302,Mismatch,O
303,GPS,B-FNC
303,Position,O
303,Mismatch,O
304,GPS,B-FNC
304,Position,O
304,Mismatch,O
305,GPS,B-FNC
305,Position,O
305,Mismatch,O
306,GPS,B-FNC
306,Position,O
306,Mismatch,O
307,GPS,B-FNC
307,Position,O
307,Mismatch,O
308,GPS,B-FNC
308,Position,O
308,Mismatch,O
309,GPS,B-FNC
309,Position,O
309,Mismatch,O
310,GPS,B-FNC
310,Position,O
310,Mismatch,O
311,GPS,B-FNC
311,Position,O
311,Mismatch,O
312,Gimbal,B-CMP
312,Roll,I-CMP
312,Limit,O
312,Reached,O
313,Gimbal,B-CMP
313,Pitch,I-CMP
313,Limit,O
313,Reached,O
314,Gimbal,B-CMP
314,Pitch,I-CMP
314,Limit,O
314,Reached,O
315,Gimbal,B-CMP
315,Pitch,I-CMP
315,Limit,O
315,Reached,O
316,Obstacle,B-FNC
316,Sensing,I-FNC
316,will,O
316,be,O
316,disabled,O
316,when,O
316,aircraft,B-CMP
316,is,O
316,landing,B-ACT
316,Fly,O
316,with,O
316,caution,O
317,Landing,B-CMP
317,Gear,I-CMP
317,Lowering,B-ACT
318,Landing,B-CMP
318,Gear,I-CMP
318,Lowered,B-ACT
319,Home,B-PAR
319,Point,I-PAR
319,Recorded,B-ACT
319,RTH,B-PAR
319,Altitude,I-PAR
319,30m,O
320,Landing,B-CMP
320,gear,I-CMP
320,Avoidance,O
320,Disabled,O
321,Gimbal,B-CMP
321,Pitch,I-CMP
321,Reached,O
321,Movement,O
321,Limit,O
322,Landing,B-CMP
322,gear,I-CMP
322,Avoidance,O
322,Disabled,O
323,Fly,O
323,with,O
323,caution,O
323,and,O
323,ensure,O
323,the,O
323,aircraft,B-CMP
323,remains,O
323,within,O
323,your,O
323,line,O
323,of,O
323,sight,O
324,Fly,O
324,with,O
324,caution,O
324,and,O
324,ensure,O
324,the,O
324,aircraft,B-CMP
324,remains,O
324,within,O
324,your,O
324,line,O
324,of,O
324,sight,O
325,Fly,O
325,with,O
325,caution,O
325,and,O
325,ensure,O
325,the,O
325,aircraft,B-CMP
325,remains,O
325,within,O
325,your,O
325,line,O
325,of,O
325,sight,O
326,Fly,O
326,with,O
326,caution,O
326,and,O
326,ensure,O
326,the,O
326,aircraft,B-CMP
326,remains,O
326,within,O
326,your,O
326,line,O
326,of,O
326,sight,O
327,Fly,O
327,with,O
327,caution,O
327,and,O
327,ensure,O
327,the,O
327,aircraft,B-CMP
327,remains,O
327,within,O
327,your,O
327,line,O
327,of,O
327,sight,O
328,Landing,B-ACT
329,Data,O
329,Recorder,O
329,File,O
329,Index,O
329,is,O
329,65,O
330,Taking,B-ACT
330,off,I-ACT
331,RTH,B-PAR
331,Altitude,I-PAR
331,65FT,O
332,Home,B-PAR
332,Point,I-PAR
332,Updated,O
333,Can,O
333,not,O
333,switch,O
333,flight,O
333,mode,O
333,Turn,O
333,on,O
333,Multiple,O
333,Flight,O
333,Modes,O
333,to,O
333,enable,O
333,Atti,O
333,and,O
333,Sport,B-STE
333,Modes,I-STE
334,Can,O
334,not,O
334,switch,O
334,flight,O
334,mode,O
334,Turn,O
334,on,O
334,Multiple,O
334,Flight,O
334,Modes,O
334,to,O
334,enable,O
334,Atti,O
334,and,O
334,Sport,B-STE
334,Modes,I-STE
335,GPS,B-FNC
335,Position,O
335,Mismatch,O
336,GPS,B-FNC
336,Position,O
336,Mismatch,O
337,GPS,B-FNC
337,Position,O
337,Mismatch,O
338,GPS,B-FNC
338,Position,O
338,Mismatch,O
339,GPS,B-FNC
